%Wavelength (nm)	O2Hb (mm^-1mM^-1)	HHb (mm^-1mM^-1)	Water (mm^-1)	Lipid (mm^-1)
600 0.883272    3.462167    0.0002224   0.000466
845	0.233022	0.176839	0.0040882	0.000678
846	0.233931	1.77E-01	0.004114521	0.000669
847	0.234838	1.78E-01	0.004136285	0.000661
848	0.235741	1.78E-01	0.004172823	0.000651
849	0.236641	1.78E-01	0.004205431	0.000643
850	0.237539	1.78E-01	0.004199792	0.000637
851	0.23843	1.79E-01	0.00420034	0.000633
852	0.239319	1.79E-01	0.004226232	0.000632
853	0.240203	1.79E-01	0.004264685	0.000631
854	0.241083	1.79E-01	0.004290724	0.000633
855	0.241958	1.79E-01	0.004317872	0.000639
856	0.242828	1.80E-01	0.004353682	0.000647
857	0.243692	1.80E-01	0.004371523	0.000656
858	0.244551	1.80E-01	0.00439251	0.000662
859	0.245405	1.80E-01	0.004428743	0.000666
860	0.246252	1.80E-01	0.00445574	0.000674
861	0.247093	1.80E-01	0.004476598	0.00068
862	0.247926	1.80E-01	0.00450124	0.00069
863	0.248755	1.80E-01	0.0045335	0.000705
864	0.249577	1.80E-01	0.004568213	0.000724
865	0.25039	1.81E-01	0.004601426	0.000751
866	0.251196	1.81E-01	0.004634498	0.000786
867	0.251995	1.81E-01	0.00466847	0.000822
868	0.252785	1.81E-01	0.004701547	0.00086
869	0.253568	1.81E-01	0.004731708	0.000899
870	0.254344	1.81E-01	0.004773501	0.000938
871	0.255108	1.81E-01	0.004827527	0.000979
872	0.255866	1.82E-01	0.004873086	0.00102
873	0.256614	1.82E-01	0.004911484	0.00107
874	0.257351	1.82E-01	0.004954669	0.00113
875	0.258081	1.82E-01	0.00501245	0.0012
876	0.258799	1.83E-01	0.005064666	0.00126
877	0.259508	1.83E-01	0.005104785	0.00135
878	0.260208	1.83E-01	0.005161031	0.00143
879	0.260897	1.84E-01	0.005223288	0.00153
880	0.261574	0.184207	0.0052787	0.00164
881	0.262241	1.85E-01	0.005339606	0.00175
882	0.262895	1.85E-01	0.005396915	0.00187
883	0.26354	1.86E-01	0.005442273	0.00199
884	0.264171	1.86E-01	0.005498754	0.00212
885	0.264788	1.87E-01	0.005566121	0.00226
886	0.265394	1.87E-01	0.005627422	0.00241
887	0.265985	1.88E-01	0.005683921	0.00258
888	0.266563	1.89E-01	0.005739265	0.00275
889	0.267128	1.89E-01	0.005794586	0.00293
890	0.267676	1.90E-01	0.005849904	0.00312
891	0.26821	1.90E-01	0.005905037	0.00331
892	0.268725	1.91E-01	0.005960036	0.00349
893	0.269227	1.92E-01	0.00601494	0.00367
894	0.269713	1.92E-01	0.006069729	0.00383
895	0.270181	1.93E-01	0.006124294	0.00398
896	0.27063	1.93E-01	0.006178845	0.00412
897	0.271063	1.94E-01	0.006233606	0.00426
898	0.271475	1.94E-01	0.006287106	0.00438
899	0.271871	1.95E-01	0.006340754	0.00451
900	0.272246	1.95E-01	0.006400894	0.00463
901	0.272601	1.95E-01	0.00646451	0.00477
902	0.272937	1.96E-01	0.006526352	0.00492
903	0.273252	1.96E-01	0.00659148	0.00508
904	0.273547	0.19618	0.00665827	0.00527
905	0.273821	1.96E-01	0.006718996	0.00547
906	0.274072	1.96E-01	0.006784521	0.00572
907	0.274302	1.96E-01	0.006863943	0.00599
908	0.274512	1.96E-01	0.00694456	0.00632
909	0.274698	1.96E-01	0.007026992	0.00666
910	0.274866	1.96E-01	0.007120957	0.00705
911	0.275012	1.96E-01	0.007217429	0.00744
912	0.275136	1.96E-01	0.007313012	0.00784
913	0.27524	1.95E-01	0.007423561	0.00823
914	0.275322	1.95E-01	0.007548312	0.00862
915	0.275385	1.94E-01	0.007677176	0.00899
916	0.275428	1.94E-01	0.007826682	0.00935
917	0.275449	1.93E-01	0.00800664	0.00968
918	0.275449	1.93E-01	0.008193495	0.01
919	0.275428	1.92E-01	0.008387851	0.0103
920	0.275389	0.191575	0.008608502	0.0107
921	0.275329	1.91E-01	0.008852734	0.011
922	0.275249	1.90E-01	0.009118045	0.0113
923	0.275147	1.89E-01	0.009418148	0.0117
924	0.27503	1.89E-01	0.009749191	0.012
925	0.274892	1.88E-01	0.010092204	0.0123
926	0.274735	1.87E-01	0.010462469	0.0126
927	0.27456	1.86E-01	0.010876606	0.0128
928	0.274367	1.85E-01	0.011309165	0.013
929	0.274155	1.84E-01	0.011752729	0.0131
930	0.273929	1.83E-01	0.012232193	0.0131
931	0.273685	1.82E-01	0.012753839	0.013
932	0.273423	1.80E-01	0.013303953	0.0128
933	0.273146	1.79E-01	0.013847224	0.0125
934	0.272854	1.78E-01	0.014358692	0.0122
935	0.272545	1.76E-01	0.014853359	0.0118
936	0.272221	1.75E-01	0.015386419	0.0113
937	0.271885	1.73E-01	0.016046456	0.0107
938	0.27153	1.72E-01	0.016801658	0.0101
939	0.271164	1.70E-01	0.017565021	0.00943
940	0.270784	0.168549	0.018343774	0.00875
941	0.27039	1.67E-01	0.019147372	0.00809
942	0.269983	1.65E-01	0.019921195	0.00745
943	0.269564	1.63E-01	0.020698731	0.00682
944	0.269131	1.61E-01	0.021626524	0.00625
945	0.268686	1.59E-01	0.02266354	0.0057
946	0.268228	1.57E-01	0.023651911	0.00523
947	0.267758	1.55E-01	0.024681573	0.0048
948	0.267277	1.53E-01	0.025909354	0.00445
949	0.266784	1.51E-01	0.027308981	0.00411
950	0.26628	1.49E-01	0.028813561	0.0038
951	0.265764	1.46E-01	0.030370164	0.00352
952	0.265237	1.44E-01	0.032011063	0.00327
953	0.264701	1.42E-01	0.033862097	0.00305
954	0.264153	1.40E-01	0.035831366	0.00285
955	0.263593	1.37E-01	0.037675104	0.00267
956	0.263024	1.35E-01	0.03930277	0.0025
957	0.262446	1.32E-01	0.040711903	0.00236
958	0.261857	1.30E-01	0.041969951	0.00224
959	0.261261	1.28E-01	0.043130559	0.00213
960	0.260653	0.125261	0.044154838	0.00205
961	0.260036	1.23E-01	0.04500089	0.00198
962	0.259412	1.20E-01	0.045652678	0.00192
963	0.258778	1.18E-01	0.046140094	0.00186
964	0.258136	1.16E-01	0.04653522	0.00181
965	0.257484	1.13E-01	0.046890864	0.00175
966	0.256826	1.11E-01	0.047236858	0.00169
967	0.25616	1.08E-01	0.047533664	0.00164
968	0.255486	1.06E-01	0.047721797	0.00159
969	0.254804	1.03E-01	0.047853362	0.00155
970	0.254116	1.01E-01	0.04800052	0.00153
971	0.25342	9.87E-02	0.048164731	0.00151
972	0.252718	9.64E-02	0.048327837	0.00149
973	0.252009	9.41E-02	0.04846595	0.00146
974	0.251293	9.19E-02	0.048562146	0.00143
975	0.250572	8.96E-02	0.048617442	0.00141
976	0.249844	8.74E-02	0.048638289	0.00141
977	0.249112	8.53E-02	0.048635564	0.00141
978	0.248373	8.31E-02	0.048594532	0.00142
979	0.247629	8.11E-02	0.048469275	0.00142
980	0.246881	7.90E-02	0.048274408	0.00142
981	0.246128	7.70E-02	0.048082858	0.00141
982	0.24537	7.51E-02	0.047903109	0.00141
983	0.244608	7.32E-02	0.04769484	0.00142
984	0.243841	7.14E-02	0.047446362	0.00144
985	0.24307	6.97E-02	0.04716246	0.00148
986	0.242296	6.80E-02	0.04683571	0.00152
987	0.241518	6.63E-02	0.046458356	0.00156
988	0.240738	6.48E-02	0.046074306	0.00161
989	0.239952	6.33E-02	0.045729332	0.00165
990	0.239165	6.19E-02	0.045353906	0.00172
991	0.238375	6.05E-02	0.044871394	0.00179
992	0.237583	5.93E-02	0.044376772	0.00189
993	0.236789	5.81E-02	0.043985951	0.00199
994	0.235992	5.70E-02	0.043615673	0.00209
995	0.235193	5.60E-02	0.043154317	0.00218
996	0.234392	5.51E-02	0.042644912	0.00227
997	0.23359	5.43E-02	0.042152822	0.00237
998	0.232789	5.36E-02	0.041678043	0.00246
999	0.231983	5.30E-02	0.041204231	0.00256
1000	0.23118	5.25E-02	0.040715041	0.00265
